EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Dacite	Biotite	39	Y	0.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	40	Zr	0.59				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	41	Nb			7.5		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	56	Ba	13.9				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	82	Pb	0.89				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	25	Mn	15.5				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	26	Fe	59.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	29	Cu	20.3				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	30	Zn	31.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	31	Ga	3.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	32	Ge				4.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	37	Rb	9.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	38	Sr	7.2				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	39	Y	2.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	40	Zr	0.47				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	41	Nb	9.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	82	Pb	2.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	25	Mn	5.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	26	Fe	22.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	28	Ni			15.1		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	29	Cu	72.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	30	Zn	11.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	31	Ga	1.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	32	Ge				1.5	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	37	Rb	2.46				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	38	Sr	0.25				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	39	Y	2.3				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	40	Zr	0.19				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	41	Nb	4.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	56	Ba	6.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	82	Pb	0.21				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	3	Li	0.144				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	37	Rb	5.18				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	38	Sr	0.183				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	39	Y	0.007				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	40	Zr	0.0232				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	41	Nb	0.0853				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	55	Cs	0.626				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	56	Ba	3.48				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	58	Ce	0.0078				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	73	Ta	0.1069				Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Lamprophyre	Biotite	90	Th				0.0145	Phenocryst-Matrix	Foley et al. 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	40	Zr	0.1362				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	57	La	0.0322				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	58	Ce	0.0175				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	60	Nd	0.0255				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	62	Sm	0.0365				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	66	Dy	0.0406				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	68	Er	0.0424				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	70	Yb	0.0484				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	71	Lu	0.0494				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Basalt	Biotite	72	Hf	0.1456				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	11	Na	0.096				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	12	Mg	22.2				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	13	Al	1.33				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	14	Si	0.537				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	19	K	2.5				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	20	Ca	0.615				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	21	Sc	11.3				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	24	Cr	12.6				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	25	Mn	6				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	27	Co	28.5				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	37	Rb	2.24				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	55	Cs	2.02				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	56	Ba	9.7				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	57	La	0.272				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	58	Ce	0.318				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	62	Sm	0.26				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	63	Eu	0.237				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	64	Gd	0.282				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	65	Tb	0.258				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	70	Yb	0.44				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	71	Lu	0.33				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	72	Hf	2.1				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	90	Th	0.31				Phenocryst-Matrix	Higuchi & Nagasawa 1969	Solid-Melt		12-DEC-2000	NaN	NaN
Granite	Biotite	9	F			1.59	7.19	Experimental	Icenhower & London 1997	Solid-Melt		12-DEC-2000	NaN	NaN
Granite	Biotite	17	Cl			1.22	6.25	Experimental	Icenhower & London 1997	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	3	Li	0.064				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	4	Be	0.95				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	9	F	2				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	37	Rb	2.48				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	38	Sr	0.159				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	39	Y	0.018				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	40	Zr	0.017				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	41	Nb	0.088				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	56	Ba	3.68				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	57	La	0.028				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	57	La	0.028				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	60	Nd	0.012				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	64	Gd	0.016				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	72	Hf	0.19				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	82	Pb	0.1				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	90	Th	0.0014				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
Basanite-Basalt	Biotite	92	U	0.0011				Experimental	Latourrette et al. 1995	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	21	Sc			13.1	18.1	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
