NON-GERM DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Synthetic glass D1007, 900C 10kbar 9% H2O	Monazite		Th	759	165			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	69.7	5
Synthetic glass D1007, 900C 10kbar 9% H2O	Monazite		U	67	5.6			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	69.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Y	318	60			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		La	1504	129			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Ce	1518	0			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Pr	1493	145			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Nd	1570	294			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Sm	1120	223			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Eu	842	189			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Gd	1013	198			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Tb	682	122			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Dy	492	93			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Ho	339	78			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Er	218	54			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Tm	150	33			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Yb	96	27			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Lu	77	18			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
Synthetic glass C3322, 800C 10kbar 10%H2O	Monazite		Th	1695	472			Experimental	Stepanov et al. 2012	Solid-Melt	CBK addition	1-APR-2025	67.7	5
