EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
High Silica Rhyolite	Allanite	72	Hf			9.8	28	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	73	Ta			1.9	4.4	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	90	Th			420	548	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	92	U			14	17	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
														
LINKS TO REFERENCES:														
Ewart & Griffin 1994 - http://earthref.org/cgi-bin/err.cgi?n=337														
Mahood & Hildreth 1983 - http://earthref.org/cgi-bin/err.cgi?n=186														
														
ACKNOWLEDGEMENTS:														
Sponsored by NSF -- EAR 0000998														
Supported by the San Diego SuperComputer Center														
														
DATABASE STATISTICS:														
EarthRef.org Database Version: 														
Search Time: 30 January 2013 05:15:03 PM														
														
LINKS TO EARTHREF.ORG:														
Original search form - http://earthref.org/cgi-bin/kdd-s0-main.cgi														
Search results - http://earthref.org/cgi-bin/kdd-s1-advanced.cgi?database_name=kdd&search_start=main&term=&term=allanite&term=&term_type=rock_type&term_type=mineral&term_type=element&conjunction=AND&conjunction=AND&rock_type=Any%20Rock%20Type&mineral=Any%20Mineral&element_family=Any%20Element%20Family&er_citation_id=Any%20Reference&sort=short_authors&														
														
SEARCH VALUES:														
Search Term(s):  allanite (Mineral)														
Rock Type: Any Rock Type														
Mineral: Any Mineral														
Element Family: Any Element Family														
Reference: Ewart & Griffin 1994														
Sort by: Reference														
														
NON-GERM ADDITIONS:														
C-1245 (2 GPa, 900 C)	Allanite		P	5.2591463415	1.8633887437			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Y	157.1229698376	14.9627574572			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Zr	2.85	0.07125			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Ba	0.1946472019	0.0439209136			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		La	211.868852459	18.0625365316			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Ce	215.242881072	18.4831291791			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Pr	211.1054421769	18.570237363			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Nd	204.757118928	19.1462359554			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Sm	192.2372881356	17.6356013477			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
