EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
rb21-1	Sphene	37	Rb	0.0025	0.0025			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	38	Sr	2.77	0.35			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	39	Y	8.36	0.55			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	40	Zr	3.18	0.19			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	41	Nb	2.19	0.35			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	56	Ba	0.0015	0.0015			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	57	La	6.43	0.6			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	58	Ce	11.1	1.04			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	60	Nd	18.6	1.7			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	62	Sm	21.4	2.19			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	63	Eu	20.4	2.1			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
rb21-1	Sphene	64	Gd	18.3	1.4			Experimental	Tiepolo 2002 10.1016/S0009-2541(02)00151-1	Solid-Melt	CBK addition	15-MAY-2014	55.54	5
