Nash & Crecraft 1985	http://earthref.org/cgi-bin/err.cgi?n=217
Nielsen 1988	http://earthref.org/cgi-bin/err.cgi?n=222
Okamoto 1979	http://earthref.org/cgi-bin/err.cgi?n=227
Paster et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=230
Philpotts & Schnetzler 1970	http://earthref.org/cgi-bin/err.cgi?n=232
Reid 1983	http://earthref.org/cgi-bin/err.cgi?n=237
Ringwood 1970	http://earthref.org/cgi-bin/err.cgi?n=238
Ronov & Yaroshevskiy 1976	http://earthref.org/cgi-bin/err.cgi?n=916
Schnetzler & Philpotts 1970	http://earthref.org/cgi-bin/err.cgi?n=240
Streck & Grunder 1997	http://earthref.org/cgi-bin/err.cgi?n=267
Sun et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=268
Villemant 1988	http://earthref.org/cgi-bin/err.cgi?n=278
Villemant et al. 1981	http://earthref.org/cgi-bin/err.cgi?n=277
Weill & McKay 1975	http://earthref.org/cgi-bin/err.cgi?n=286
Wilke & Behrens 1999	http://earthref.org/cgi-bin/err.cgi?n=289
Bea et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=168
Dawson & Hinton 2003	http://earthref.org/cgi-bin/err.cgi?n=99688
Fujimaki 1986	http://earthref.org/cgi-bin/err.cgi?n=347
Klemme 2003	http://earthref.org/cgi-bin/err.cgi?n=98598
Larsen 1979	http://earthref.org/cgi-bin/err.cgi?n=154
Luhr et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=182
Mahood & Stimac 1990	http://earthref.org/cgi-bin/err.cgi?n=187
Nagasawa & Schnetzler 1971	http://earthref.org/cgi-bin/err.cgi?n=210
Nagasawa 1970	http://earthref.org/cgi-bin/err.cgi?n=209
Paster et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=230
Watson & Green 1981	http://earthref.org/cgi-bin/err.cgi?n=282
Zack et al. 2002	http://earthref.org/cgi-bin/err.cgi?n=99712
Klemme 2003	http://earthref.org/cgi-bin/err.cgi?n=98601
Bea et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=168
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Foley et al. 1996	http://earthref.org/cgi-bin/err.cgi?n=342
Fujimaki et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=346
Higuchi & Nagasawa 1969	http://earthref.org/cgi-bin/err.cgi?n=112
Icenhower & London 1997	http://earthref.org/cgi-bin/err.cgi?n=120
Latourrette et al. 1995	http://earthref.org/cgi-bin/err.cgi?n=155
Mahood & Hildreth 1983	http://earthref.org/cgi-bin/err.cgi?n=186
Matsui et al. 1977	http://earthref.org/cgi-bin/err.cgi?n=190
Nash & Crecraft 1985	http://earthref.org/cgi-bin/err.cgi?n=217
Philpotts & Schnetzler 1970	http://earthref.org/cgi-bin/err.cgi?n=232
Schnetzler & Philpotts 1970	http://earthref.org/cgi-bin/err.cgi?n=240
Villemant 1988	http://earthref.org/cgi-bin/err.cgi?n=278
Villemant et al. 1981	http://earthref.org/cgi-bin/err.cgi?n=277
Adam & Green 1994	http://earthref.org/cgi-bin/err.cgi?n=87
Adam & Green 2006	http://earthref.org/cgi-bin/err.cgi?n=99679
Bacon & Druitt 1988	http://earthref.org/cgi-bin/err.cgi?n=124
Baker & Wyllie 1992	http://earthref.org/cgi-bin/err.cgi?n=142
Beattie 1993	http://earthref.org/cgi-bin/err.cgi?n=201
Benjamin et al. 1978	http://earthref.org/cgi-bin/err.cgi?n=252
Bennett et al. 2004	http://earthref.org/cgi-bin/err.cgi?n=99681
Blundy & Dalton 2000	http://earthref.org/cgi-bin/err.cgi?n=99683
Blundy et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=99684
Bougault & Hekinian 1974	http://earthref.org/cgi-bin/err.cgi?n=304
Brenan & Watson 1991	http://earthref.org/cgi-bin/err.cgi?n=306
Brenan et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=308
