EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Kimberlite	Ilmenite	60	Nd	0.0079				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	62	Sm	0.0104				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	64	Gd	0.0146				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	66	Dy	0.02				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	68	Er	0.0275				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	70	Yb	0.0469				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	71	Lu	0.0562				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Kimberlite	Ilmenite	72	Hf	1.817				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Ilmenite	41	Nb	4.6				Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Ilmenite	73	Ta	6.6				Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	41	Nb	2.3				Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	73	Ta	2.7				Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Basalt	Ilmenite	21	Sc			2.2	3.04	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	23	V			1.4		Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	24	Cr			11.7	40	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	27	Co			1.36	3.3	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	29	Cu			0.68	4.8	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	30	Zn			0.61	11	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	38	Sr			0.0012	0.008	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	39	Y			0.021	0.036	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	40	Zr			0.6	0.8	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	41	Nb			0.55	1.9	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	42	Mo				0.026	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	50	Sn				5.1	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	51	Sb				0.05	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	58	Ce				0.0004	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	64	Gd			0.006	0.013	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	71	Lu			0.031	0.17	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	72	Hf			0.77	1.24	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	73	Ta			0.76	2.7	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	74	W			0.029	0.12	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	90	Th			0.0006	0.0027	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Lunar Basalt	Ilmenite	92	U			0.0039	0.01	Experimental	Klemme et al. 2006	Solid-Melt		08-DEC-2008	NaN	NaN
Granodiorite	Ilmenite	12	Mg	9.5				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
Granodiorite	Ilmenite	13	Al	0.025				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
Granodiorite	Ilmenite	14	Si	0.0006				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
Granodiorite	Ilmenite	23	V	80				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
