EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Peraluminous Rhyolite	An10-A35Plagioclase	15	P	0.61	0.0671			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	22	Ti	0.14	0.0112			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	25	Mn	0.087	0.00783			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	30	Zn	0.032	0.0144			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	32	Ge	0.51	0.0816			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	37	Rb	0.008	0.00056			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	38	Sr	10.8	3.564			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	40	Zr	0.003	0.00072			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	41	Nb	0.003	0.00111			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	50	Sn	0.048	0.01008			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	55	Cs	0.0007	0.00014			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	56	Ba	0.87	0.3045			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	57	La	3.57	0.2499			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	62	Sm	0.68	0.204			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	63	Eu	17.9	4.475			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	64	Gd	0.45	0.1395			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	70	Yb	0.02	0.0214			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	73	Ta	0.004	0.00192			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	74	W	0.003	0.00084			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	82	Pb	2.98	0.3576			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
Peraluminous Rhyolite	An10-A35Plagioclase	92	U	0.008	0.00168			Phenocryst-Matrix	Pichavant et al. 2024	Solid-Melt			71.36	5
