NON-GERM DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	69	Tm	52				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	70	Yb	53				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	71	Lu	63				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	39	Y	51				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	57	La	1472				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	58	Ce	1293				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	59	Pr	1147				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	60	Nd	1075				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	62	Sm	569				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	63	Eu	129				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	64	Gd	250				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	65	Tb	169				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	66	Dy	118				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	67	Ho	74				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	68	Er	64				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	69	Tm	46				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	70	Yb	49				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	71	Lu	47				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	39	Y	54				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	38	Sr	6				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	41	Nb	56				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	40	Zr	6				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	72	Hf	5				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	90	Th	158				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite ND002, Olkaria Volcanic Complex	Chevkinite	92	U	11				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	57	La	1039				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	58	Ce	842				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	59	Pr	718				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	60	Nd	595				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	62	Sm	265				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	63	Eu	152				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	64	Gd	115				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	65	Tb	59				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	66	Dy	37				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	67	Ho	21				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	68	Er	19				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	70	Yb	10				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	71	Lu	9				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	39	Y	11				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	56	Ba	1.6				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	38	Sr	27				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	41	Nb	26				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	90	Th	87				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite SMN49, Olkaria Volcanic Complex	Chevkinite	92	U	7				Phenocryst-Matrix	Macdonald et al. 2002, doi.org/10.1180/0026461026620029	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline comenditic rhyolite, ignimbrite X, Gran Canaria	Chevkinite	57	La	988				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	58	Ce	806				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	59	Pr	626				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	60	Nd	615				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	62	Sm	392				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	63	Eu	225				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	64	Gd	142				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	66	Dy	72				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	39	Y	74				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	38	Sr	84				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	41	Nb	15				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	40	Zr	3.55				Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peralkaline rhyolite, ignimbrite X, Gran Canaria	Chevkinite	90	Th			50		Phenocryst-Matrix	Troll et al. 2003, doi.org/10.1007/s00410-003-0475-9	Solid-Melt	CBK addition	1-JUN-2025	69	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	11	Na	0.004				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	12	Mg	9.7				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	13	Al	0.293				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	14	Si	0.26				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	20	Ca	18				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	21	Sc	964				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	22	Ti	165				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	23	V	192				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	25	Mn	5.72				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	29	Cu	0.705				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	30	Zn	1.42				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	31	Ga	1.05				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	32	Ge	61				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	38	Sr	8.62				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	39	Y	140				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	40	Zr	57				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	41	Nb	21				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	56	Ba	133				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	57	La	3484				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	58	Ce	3310				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	59	Pr	2025				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	60	Nd	2326				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	62	Sm	1607				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	63	Eu	1028				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	64	Gd	829				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	65	Tb	523				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	66	Dy	352				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	67	Ho	186				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	68	Er	157				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	69	Tm	120				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	70	Yb	158				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	71	Lu	200				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	72	Hf	104				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	73	Ta	13				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	82	Pb	0.916				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	90	Th	271				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
Peach Springs Tuff high-silica rhyolite KPST01A	Chevkinite	92	U	6.82				Phenocryst-Matrix	Padilla & Gualda 2016, doi.org/10.1016/j.chemgeo.2016.07.004	Solid-Melt	CBK addition	1-JUN-2025	76	5
