Material	Rock_Group	Rock_Subgroup	Rock_Composition	Rock_Facies	Rock_Texture	Rock_Name
	igneous	volcanic	peralkaline			wyomingite
	igneous	plutonic	quartz			quartzolit
	igneous	plutonic	felsic			silexite
	igneous	plutonic	felsic			granit
	igneous	plutonic	felsic		granophyric	microgranite
	igneous	plutonic	felsic		pegmatitic	pegmat
	igneous	plutonic	felsic		granophyric	aplit
	igneous	volcanic	felsic	hypabyssal		felsite
	igneous	plutonic	felsic			charnockit
	igneous	plutonic	felsic			granophyre
	igneous	plutonic	felsic		rapakivi	rapakivi
	igneous	plutonic	felsic		rapakivi	wiborgite
	igneous	plutonic	felsic		rapakivi	pyterlite
	igneous	plutonic	felsic			mangerit
	igneous	plutonic	felsic			granodiorit
	igneous	plutonic	felsic			opdalite
	igneous	plutonic	felsic			trondhjemit
	igneous	plutonic	intermediate			tonalit
	igneous	plutonic	intermediate			adamellit
	igneous	plutonic	intermediate			enderbite
	igneous	plutonic	intermediate			diorit
	igneous	plutonic	intermediate			jotunite
	igneous	plutonic	intermediate			marscoite
	igneous	plutonic	intermediate			sanukit
	igneous	plutonic	intermediate			monzonit
	igneous	plutonic	intermediate			appinite
	igneous	plutonic	mafic			gabbro
	igneous	plutonic	mafic			norit
	igneous	plutonic	mafic			troctolit
	igneous	plutonic	mafic			mafraite
	igneous	plutonic	mafic			allivalite
	igneous	plutonic	mafic			anorthosit
	igneous	plutonic	mafic	hypabyssal		diabase
	igneous	plutonic	mafic	hypabyssal		dolerit
	igneous	plutonic	mafic			leucophyre
	igneous	plutonic	mafic			glenmuirite
	igneous	plutonic	mafic			jotunite
	igneous	plutonic	mafic			labradorite
	igneous	plutonic	mafic			luscladite
	igneous	plutonic	mafic			theralite
	igneous	plutonic	mafic			sebastianite
	igneous	plutonic	mafic			amphibolit
	igneous	plutonic	mafic			corganite
	igneous	plutonic	mafic			corgaspinite
	igneous	plutonic	ultramafic			pyroxenit
	igneous	plutonic	ultramafic			bronzit
	igneous	plutonic	ultramafic			enstatit
	igneous	plutonic	ultramafic			websterit
	igneous	plutonic	ultramafic			hornblendit
	igneous	plutonic	ultramafic			cortlandite
	igneous	plutonic	ultramafic			olivinite
	igneous	plutonic	ultramafic			dunit
	igneous	plutonic	ultramafic			lherzolit
	igneous	plutonic	ultramafic			peridot
	igneous	plutonic	ultramafic			harzburgit
	igneous	plutonic	ultramafic			wehrlit
	igneous	plutonic	ultramafic			alkremite
	igneous	plutonic	ultramafic			chromit
xenolith	igneous	plutonic	ultramafic			mantle xenolith
	igneous	plutonic	felsic			alaskite
	igneous	plutonic	alkaline			ankaramite
	igneous	plutonic	peralkaline			apatitite
	igneous	plutonic	peralkaline			basanit
	igneous	plutonic	peralkaline		cumulate	bebedourite
	igneous	plutonic	alkaline			biotitite
	igneous	plutonic	peralkaline			borolanite
	igneous	plutonic	alkaline			bostonite
	igneous	plutonic	peralkaline			buchonite
	igneous	plutonic	peralkaline			campanite
	igneous	plutonic	peralkaline			crinanite
	igneous	plutonic	alkaline			durbachite
	igneous	plutonic	peralkaline			essexite
	igneous	plutonic	peralkaline			fergusite
	igneous	plutonic	peralkaline			foyaite
	igneous	plutonic	alkaline			glimmerite
	igneous	plutonic	peralkaline			ijolite
	igneous	plutonic	peralkaline			jacupirangite
	igneous	plutonic	peralkaline			juvite
	igneous	plutonic	alkaline			kaersutitite
	igneous	plutonic	peralkaline			kamafugite
	igneous	plutonic	alkaline			kentallenite
	igneous	plutonic	alkaline			kullaite
	igneous	plutonic	peralkaline			lamprophyre
	igneous	plutonic	alkaline			larvikite
	igneous	plutonic	alkaline			lestiwarite
	igneous	plutonic	peralkaline			lujavrit
	igneous	plutonic	peralkaline			melteigite
	igneous	plutonic	peralkaline			missourite
	igneous	plutonic	peralkaline			murambite
	igneous	plutonic	peralkaline			naujait
	igneous	plutonic	peralkaline			nelsonite
	igneous	plutonic	peralkaline			niligongite
	igneous	plutonic	alkaline			nordmarkite
	igneous	plutonic	alkaline			orthoclasite
	igneous	plutonic	alkaline			ongonite
	igneous	plutonic	peralkaline			phoscorite
	igneous	plutonic	alkaline			puglianite
	igneous	plutonic	peralkaline			riedenite
	igneous	plutonic	peralkaline			shonkinite
	igneous	plutonic	peralkaline			sommaite
	igneous	plutonic	alkaline			syenit
	igneous	plutonic	peralkaline			synnyrite
	igneous	plutonic	peralkaline			tahitite
	igneous	plutonic	peralkaline			tannbuschite
	igneous	plutonic	peralkaline			tephrite
	igneous	plutonic	peralkaline			teschenite
	igneous	plutonic	peralkaline			turjaite
	igneous	plutonic	peralkaline			uncompahgrite
	igneous	plutonic	peralkaline			urtite
	igneous	plutonic	alkaline			vaugnerite
	igneous	plutonic	alkaline			vibetoite
	igneous	plutonic	peralkaline			vicoite
	igneous	plutonic	alkaline			yamaskite
	igneous		carbonate			carbonatit
	igneous		carbonate			beforsite
	igneous		carbonate			rauhaugite
	igneous		carbonate			aillikite
	igneous	plutonic	carbonate			alvikite
	igneous	plutonic	carbonate			sovite
	metamorphic					metamorphic
	metamorphic				gneissose	gneiss
	metamorphic				schistose	schist
	metamorphic				granoblastic	granofels
	metamorphic				mylonitic	mylonit
	metamorphic	cataclastic			cataclastic	cataclas
	metamorphic	cataclastic			cataclastic	gouge
	metamorphic	cataclastic			cataclastic	fault breccia
	metamorphic	cataclastic			glassy	pseudotachylite
	metamorphic			granulite	migmatitic	migmat
	metamorphic			granulite	migmatitic	diatexite
	metamorphic			granulite	migmatitic	metatexite
	metamorphic			granulite	migmatitic	leucosome
	metamorphic			granulite	migmatitic	melanosome
	metamorphic			granulite	migmatitic	paleosome
	metamorphic	metaigneous	mafic	blueschist		blueschist
	metamorphic	metaigneous	mafic	greenschist		greenschist
	metamorphic	metaigneous	mafic	granulite		granulit
	metamorphic	metaigneous	mafic	amphibolite		amphibolit
	metamorphic	metaigneous	mafic	eclogite		eclogit
	metamorphic	metaigneous	ultramafic	eclogite		piclogite
	metamorphic			contact		sanidinite
	metamorphic			zeolite		zeolite
	metamorphic			prehnite-pumpellyite		prehnite
	metamorphic			greenschist		chloritite
	metamorphic			greenschist		epidotite
	metamorphic					garnetite
	metamorphic	metaigneous	felsic			halleflinta
	metamorphic	metavolcanic	felsic			leptite
	metamorphic	metavolcanic	felsic	hydrothermal		lithophys
	metamorphic	metaplutonic	felsic		gneissose	augen
	metamorphic	metaigneous	intermediate	hydrothermal		propylite
	metamorphic	metaigneous	mafic	greenschist		greenstone
	metamorphic	metaigneous	mafic			metabasite
	metamorphic	metaigneous	mafic	eclogite		eclogite
	metamorphic	metaigneous	mafic	amphibolite		amphibolite
	metamorphic	metavolcanic	mafic	hydrothermal		spilit
	metamorphic	metavolcanic	mafic	hydrothermal		palagonite
	metamorphic	metaplutonic	mafic	contact		beerbachite
	metamorphic	metaplutonic	felsic			greisen
	metamorphic	metaplutonic	felsic	greenschist		unakite
	metamorphic	metaigneous	ultramafic			serpentin
	metamorphic	metaigneous	ultramafic			soapstone
	metamorphic	metaigneous	ultramafic			steatite
	metamorphic	metaigneous	ultramafic			talc
	metamorphic	metaigneous			gneiss	orthogneiss
	metamorphic	metasedimentary			gneiss	paragneiss
	metamorphic	metasedimentary		contact	granoblastic	hornfels
	metamorphic	metasedimentary	carbonate	contact		skarn
